Date,Open,High,Low,Close,Adj Close,Volume
2020-08-16,0.138,0.139,0.136,0.138,0.138,284566480
2020-08-17,0.138,0.144,0.138,0.141,0.141,425628203
2020-08-18,0.141,0.143,0.136,0.137,0.137,340692991
2020-08-19,0.137,0.138,0.128,0.129,0.129,383288760
2020-08-20,0.129,0.134,0.128,0.134,0.134,314037834
2020-08-21,0.134,0.134,0.123,0.124,0.124,363034924
2020-08-22,0.124,0.126,0.12,0.125,0.125,296099194
2020-08-23,0.125,0.126,0.12,0.122,0.122,232234230
2020-08-24,0.122,0.126,0.121,0.124,0.124,278021260
2020-08-25,0.125,0.125,0.108,0.113,0.113,431857369
2020-08-26,0.113,0.118,0.111,0.115,0.115,314761939
2020-08-27,0.115,0.116,0.104,0.107,0.107,361935074
2020-08-28,0.107,0.111,0.106,0.109,0.109,275672160
2020-08-29,0.109,0.118,0.109,0.117,0.117,315465776
2020-08-30,0.117,0.118,0.114,0.117,0.117,297044001
2020-08-31,0.117,0.126,0.114,0.123,0.123,453559242
2020-09-01,0.123,0.127,0.12,0.125,0.125,451299015
2020-09-02,0.125,0.126,0.112,0.116,0.116,427391907
2020-09-03,0.116,0.116,0.096,0.096,0.096,486369863
2020-09-04,0.096,0.104,0.094,0.102,0.102,514623980
2020-09-05,0.102,0.104,0.087,0.09,0.09,481176027
2020-09-06,0.09,0.095,0.087,0.093,0.093,454580262
2020-09-07,0.093,0.094,0.087,0.093,0.093,463220962
2020-09-08,0.093,0.097,0.089,0.091,0.091,610082647
2020-09-09,0.091,0.096,0.09,0.093,0.093,572617714
2020-09-10,0.093,0.1,0.093,0.097,0.097,809239667
2020-09-11,0.097,0.098,0.093,0.097,0.097,771197364
2020-09-12,0.097,0.099,0.095,0.098,0.098,699214253
2020-09-13,0.098,0.1,0.093,0.095,0.095,771663333
2020-09-14,0.095,0.098,0.094,0.097,0.097,851692144
2020-09-15,0.097,0.098,0.093,0.093,0.093,813329601
2020-09-16,0.093,0.094,0.09,0.092,0.092,822410832
2020-09-17,0.092,0.095,0.091,0.094,0.094,825621808
2020-09-18,0.094,0.094,0.09,0.091,0.091,699241251
2020-09-19,0.091,0.093,0.091,0.092,0.092,617795834
2020-09-20,0.092,0.092,0.088,0.089,0.089,682896131
2020-09-21,0.089,0.09,0.078,0.08,0.08,566692194
