Tanggal,Kurs
3/20/2023 12:00:00 AM,15372
3/17/2023 12:00:00 AM,15364
3/16/2023 12:00:00 AM,15418
3/15/2023 12:00:00 AM,15365
3/14/2023 12:00:00 AM,15380
3/13/2023 12:00:00 AM,15374
3/10/2023 12:00:00 AM,15468
3/9/2023 12:00:00 AM,15438
3/8/2023 12:00:00 AM,15451
3/7/2023 12:00:00 AM,15359
3/6/2023 12:00:00 AM,15301
3/3/2023 12:00:00 AM,15306
3/2/2023 12:00:00 AM,15273
3/1/2023 12:00:00 AM,15250
2/28/2023 12:00:00 AM,15240
2/27/2023 12:00:00 AM,15274
2/24/2023 12:00:00 AM,15216
2/23/2023 12:00:00 AM,15187
2/22/2023 12:00:00 AM,15218
2/21/2023 12:00:00 AM,15179
2/20/2023 12:00:00 AM,15168
2/17/2023 12:00:00 AM,15199
2/16/2023 12:00:00 AM,15176
2/15/2023 12:00:00 AM,15194
2/14/2023 12:00:00 AM,15168
2/13/2023 12:00:00 AM,15216
2/10/2023 12:00:00 AM,15140
2/9/2023 12:00:00 AM,15120
2/8/2023 12:00:00 AM,15122
2/7/2023 12:00:00 AM,15139
2/6/2023 12:00:00 AM,15055
2/3/2023 12:00:00 AM,14898
2/2/2023 12:00:00 AM,14868
2/1/2023 12:00:00 AM,14991
1/31/2023 12:00:00 AM,14992
1/30/2023 12:00:00 AM,14979
1/27/2023 12:00:00 AM,14978
1/26/2023 12:00:00 AM,14964
1/25/2023 12:00:00 AM,14958
1/24/2023 12:00:00 AM,14930
1/20/2023 12:00:00 AM,15121
1/19/2023 12:00:00 AM,15113
1/18/2023 12:00:00 AM,15137
1/17/2023 12:00:00 AM,15154
1/16/2023 12:00:00 AM,15019
1/13/2023 12:00:00 AM,15177
1/12/2023 12:00:00 AM,15366
1/11/2023 12:00:00 AM,15527
1/10/2023 12:00:00 AM,15589
1/9/2023 12:00:00 AM,15574
1/6/2023 12:00:00 AM,15635
1/5/2023 12:00:00 AM,15610
1/4/2023 12:00:00 AM,15615
1/3/2023 12:00:00 AM,15590
1/2/2023 12:00:00 AM,15572
12/30/2022 12:00:00 AM,15592
12/29/2022 12:00:00 AM,15731
12/28/2022 12:00:00 AM,15703
12/27/2022 12:00:00 AM,15659
12/26/2022 12:00:00 AM,15636
12/23/2022 12:00:00 AM,15605
12/22/2022 12:00:00 AM,15594
12/21/2022 12:00:00 AM,15601
12/20/2022 12:00:00 AM,15608
12/19/2022 12:00:00 AM,15621
12/16/2022 12:00:00 AM,15617
12/15/2022 12:00:00 AM,15630
12/14/2022 12:00:00 AM,15619
12/13/2022 12:00:00 AM,15661
12/12/2022 12:00:00 AM,15642
12/9/2022 12:00:00 AM,15587
12/8/2022 12:00:00 AM,15624
12/7/2022 12:00:00 AM,15619
12/6/2022 12:00:00 AM,15576
12/5/2022 12:00:00 AM,15409
12/2/2022 12:00:00 AM,15429
12/1/2022 12:00:00 AM,15617
11/30/2022 12:00:00 AM,15742
11/29/2022 12:00:00 AM,15737
11/28/2022 12:00:00 AM,15729
11/25/2022 12:00:00 AM,15668
11/24/2022 12:00:00 AM,15647
11/23/2022 12:00:00 AM,15700
11/22/2022 12:00:00 AM,15716
11/21/2022 12:00:00 AM,15707
11/18/2022 12:00:00 AM,15692
