Tanggal,Kurs
2020-09-21,14723
2020-09-18,14768
2020-09-17,14878
2020-09-16,14844
2020-09-15,14870
2020-09-14,14974
2020-09-11,14979
2020-09-10,14871
2020-09-09,14853
2020-09-08,14798
2020-09-07,14754
2020-09-04,14792
2020-09-03,14818
2020-09-02,14804
2020-09-01,14615
2020-08-31,14554
2020-08-28,14702
2020-08-27,14714
2020-08-26,14636
2020-08-25,14632
2020-08-24,14794
2020-08-19,14786
2020-08-18,14907
2020-08-14,14917
2020-08-13,14877
2020-08-12,14777
2020-08-11,14728
2020-08-10,14750
2020-08-07,14647
2020-08-06,14587
2020-08-05,14623
2020-08-04,14697
2020-08-03,14713
