Kurs Jual,Kurs Beli,Tanggal
11905.99,11786.64,12-22-2022
11836.73,11716.3,12-21-2022
11562.16,11446.28,12-20-2022
11439.56,11323.27,12-19-2022
11567.12,11449.5,12-16-2022
11582.86,11465.08,12-15-2022
11455.94,11339.46,12-14-2022
11499.79,11382.86,12-13-2022
11482.87,11364.45,12-12-2022
11482.35,11365.61,9-12-2022
11426.87,11310.71,8-12-2022
11428.69,11314.15,7-12-2022
11464.35,11347.75,6-12-2022
11508.2,11391.15,5-12-2022
11495.7,11378.82,2-12-2022
11421.25,11306.79,1-12-2022
11450.68,11334.29,11-30-2022
11422.54,11308.06,11-29-2022
11345.44,11230.93,11-28-2022
11313.94,11197.32,11-25-2022
11175.37,11061.82,11-24-2022
11137.06,11023.91,11-23-2022
11203.36,11089.53,11-22-2022
11275.89,11162.89,11-21-2022
11322.49,11209.03,11-18-2022
11258.83,11144.4,11-17-2022
11228.07,11113.95,11-16-2022
11174.76,11062.77,11-15-2022
11029.59,10919.06,11-14-2022
10792.35,10682.78,11-11-2022
10812.56,10704.23,10-11-2022
10743.2,10634.13,9-11-2022
10688.94,10581.86,8-11-2022
10700.78,10593.59,7-11-2022
10653.29,10546.57,4-11-2022
10678.34,10571.37,3-11-2022
10631.63,10523.7,2-11-2022
10589.81,10483.73,1-11-2022
10617.71,10511.34,10-31-2022
10742.58,10634.96,10-28-2022
10660.4,10553.6,10-27-2022
10542.14,10435.14,10-26-2022
10497.79,10392.64,10-25-2022
10427.42,10321.6,10-24-2022
10446.99,10340.96,10-21-2022
10424.84,10317.66,10-20-2022
10437.29,10331.36,10-19-2022
10467.2,10360.96,10-18-2022
10486.07,10379.62,10-17-2022
10511.33,10404.62,10-14-2022
10569.79,10463.91,10-13-2022
10603.58,10495.91,12-10-2022
10573.17,10465.8,11-10-2022
10576.54,10469.13,10-10-2022
10560.77,10454.96,7-10-2022
10573.23,10467.3,6-10-2022
10614.2,10507.86,5-10-2022
10596.71,10489.09,4-10-2022
10610.04,10503.74,3-10-2022
10588.93,10482.84,9-30-2022
