NO;Tanggal;Kurs;
425;11/18/2022 12:00:00 AM;15692;
426;11/17/2022 12:00:00 AM;15687;
427;11/16/2022 12:00:00 AM;15610;
428;11/15/2022 12:00:00 AM;15564;
429;11/14/2022 12:00:00 AM;15499;
430;11/11/2022 12:00:00 AM;15493;
431;11/10/2022 12:00:00 AM;15701;
432;11/9/2022 12:00:00 AM;15654;
433;11/8/2022 12:00:00 AM;15684;
434;11/7/2022 12:00:00 AM;15692;
435;11/4/2022 12:00:00 AM;15736;
436;11/3/2022 12:00:00 AM;15681;
437;11/2/2022 12:00:00 AM;15652;
438;11/1/2022 12:00:00 AM;15647;
439;10/31/2022 12:00:00 AM;15596;
440;10/28/2022 12:00:00 AM;15542;
441;10/27/2022 12:00:00 AM;15573;
442;10/26/2022 12:00:00 AM;15596;
443;10/25/2022 12:00:00 AM;15616;
444;10/24/2022 12:00:00 AM;15590;
445;10/21/2022 12:00:00 AM;15610;
446;10/20/2022 12:00:00 AM;15579;
447;10/19/2022 12:00:00 AM;15491;
448;10/18/2022 12:00:00 AM;15469;
449;10/17/2022 12:00:00 AM;15480;
450;10/14/2022 12:00:00 AM;15390;
451;10/13/2022 12:00:00 AM;15357;
452;10/12/2022 12:00:00 AM;15373;
453;10/11/2022 12:00:00 AM;15362;
454;10/10/2022 12:00:00 AM;15299;
455;10/7/2022 12:00:00 AM;15246;
456;10/6/2022 12:00:00 AM;15197;
457;10/5/2022 12:00:00 AM;15196;
458;10/4/2022 12:00:00 AM;15276;
459;10/3/2022 12:00:00 AM;15293;
460;9/30/2022 12:00:00 AM;15232;
461;9/29/2022 12:00:00 AM;15247;
462;9/28/2022 12:00:00 AM;15243;
463;9/27/2022 12:00:00 AM;15155;
464;9/26/2022 12:00:00 AM;15119;
465;9/23/2022 12:00:00 AM;15035;
466;9/22/2022 12:00:00 AM;15033;
467;9/21/2022 12:00:00 AM;15011;
468;9/20/2022 12:00:00 AM;14975;
469;9/19/2022 12:00:00 AM;14980;
470;9/16/2022 12:00:00 AM;14939;
471;9/15/2022 12:00:00 AM;14899;
472;9/14/2022 12:00:00 AM;14923;
473;9/13/2022 12:00:00 AM;14861;
474;9/12/2022 12:00:00 AM;14839;
475;9/9/2022 12:00:00 AM;14846;
476;9/8/2022 12:00:00 AM;14905;
477;9/7/2022 12:00:00 AM;14927;
478;9/6/2022 12:00:00 AM;14885;
479;9/5/2022 12:00:00 AM;14920;
480;9/2/2022 12:00:00 AM;14900;
481;9/1/2022 12:00:00 AM;14884;
482;8/31/2022 12:00:00 AM;14853;
483;8/30/2022 12:00:00 AM;14875;
484;8/29/2022 12:00:00 AM;14887;
485;8/26/2022 12:00:00 AM;14814;
486;8/25/2022 12:00:00 AM;14827;
487;8/24/2022 12:00:00 AM;14851;
488;8/23/2022 12:00:00 AM;14893;
489;8/22/2022 12:00:00 AM;14882;
490;8/19/2022 12:00:00 AM;14858;
491;8/18/2022 12:00:00 AM;14822;
492;8/16/2022 12:00:00 AM;14767;
493;8/15/2022 12:00:00 AM;14727;
494;8/12/2022 12:00:00 AM;14688;
495;8/11/2022 12:00:00 AM;14799;
496;8/10/2022 12:00:00 AM;14875;
497;8/9/2022 12:00:00 AM;14862;
498;8/8/2022 12:00:00 AM;14915;
499;8/5/2022 12:00:00 AM;14904;
500;8/4/2022 12:00:00 AM;14929;
501;8/3/2022 12:00:00 AM;14917;
502;8/2/2022 12:00:00 AM;14888;
503;8/1/2022 12:00:00 AM;14874;
504;7/29/2022 12:00:00 AM;14860;
505;7/28/2022 12:00:00 AM;14958;
506;7/27/2022 12:00:00 AM;15020;
507;7/26/2022 12:00:00 AM;14984;
508;7/25/2022 12:00:00 AM;14992;
509;7/22/2022 12:00:00 AM;15024;
510;7/21/2022 12:00:00 AM;15017;
511;7/20/2022 12:00:00 AM;14984;
512;7/19/2022 12:00:00 AM;14992;
513;7/18/2022 12:00:00 AM;14986;
514;7/15/2022 12:00:00 AM;14999;
515;7/14/2022 12:00:00 AM;14999;
516;7/13/2022 12:00:00 AM;14985;
517;7/12/2022 12:00:00 AM;14993;
518;7/11/2022 12:00:00 AM;14969;
519;7/8/2022 12:00:00 AM;14981;
520;7/7/2022 12:00:00 AM;14986;
521;7/6/2022 12:00:00 AM;15015;
522;7/5/2022 12:00:00 AM;14990;
523;7/4/2022 12:00:00 AM;14960;
524;7/1/2022 12:00:00 AM;14956;
525;6/30/2022 12:00:00 AM;14882;
526;6/29/2022 12:00:00 AM;14848;
527;6/28/2022 12:00:00 AM;14837;
528;6/27/2022 12:00:00 AM;14802;
529;6/24/2022 12:00:00 AM;14846;
530;6/23/2022 12:00:00 AM;14835;
531;6/22/2022 12:00:00 AM;14860;
532;6/21/2022 12:00:00 AM;14804;
533;6/20/2022 12:00:00 AM;14836;
534;6/17/2022 12:00:00 AM;14828;
535;6/16/2022 12:00:00 AM;14741;
536;6/15/2022 12:00:00 AM;14746;
537;6/14/2022 12:00:00 AM;14729;
538;6/13/2022 12:00:00 AM;14672;
539;6/10/2022 12:00:00 AM;14569;
540;6/9/2022 12:00:00 AM;14555;
541;6/8/2022 12:00:00 AM;14477;
542;6/7/2022 12:00:00 AM;14464;
543;6/6/2022 12:00:00 AM;14462;
544;6/3/2022 12:00:00 AM;14431;
545;6/2/2022 12:00:00 AM;14526;
546;5/31/2022 12:00:00 AM;14592;
547;5/30/2022 12:00:00 AM;14544;
548;5/27/2022 12:00:00 AM;14578;
549;5/25/2022 12:00:00 AM;14645;
550;5/24/2022 12:00:00 AM;14653;
551;5/23/2022 12:00:00 AM;14665;
552;5/20/2022 12:00:00 AM;14661;
553;5/19/2022 12:00:00 AM;14731;
554;5/18/2022 12:00:00 AM;14682;
555;5/17/2022 12:00:00 AM;14651;
556;5/13/2022 12:00:00 AM;14619;
557;5/12/2022 12:00:00 AM;14585;
558;5/11/2022 12:00:00 AM;14546;
559;5/10/2022 12:00:00 AM;14546;
560;5/9/2022 12:00:00 AM;14534;
561;4/28/2022 12:00:00 AM;14480;
562;4/27/2022 12:00:00 AM;14418;
