Kurs Jual,Kurs Beli,Tanggal
10589.17,10481.65,2023-24-08
10568.57,10461.25,2023-23-08
10593.17,10485.6,2023-22-08
10591.04,10483.49,2023-21-08
10582.29,10476.28,2023-18-08
10575.83,10469.88,2023-16-08
10635.09,10527.09,2023-15-08
10581.69,10474.23,2023-14-08
10625.88,10519.42,2023-11-08
10665.85,10558.99,2023-10-08
10693.93,10585.3,2023-09-08
10733.11,10625.56,2023-08-08
10687.68,10579.11,2023-07-08
10688.59,10581.49,2023-04-08
10691.29,10584.17,2023-03-08
10644.28,10536.16,2023-02-08
10669.29,10560.9,2023-01-08
10845.26,10736.57,2023-31-07
10773.85,10665.9,2023-28-07
10740.96,10631.82,2023-27-07
10667.73,10559.35,2023-26-07
10675.11,10566.65,2023-25-07
10685.01,10577.95,2023-24-07
10792.23,10682.55,2023-21-07
10900.59,10791.34,2023-20-07
10877.77,10768.77,2023-18-07
10868.11,10756.07,2023-17-07
10881.08,10772.03,2023-14-07
10861.52,10749.59,2023-13-07
10846.19,10734.45,2023-12-07
10727.91,10617.43,2023-11-07
10620.46,10511.11,2023-10-07
10521.52,10414.66,2023-07-07
10453.15,10346.98,2023-06-07
10447.21,10342.55,2023-05-07
10435.23,10327.83,2023-04-07
10502.3,10395.63,2023-03-07
10545.48,10438.36,2023-27-06
10542.76,10437.13,2023-26-06
10570.07,10461.21,2023-23-06
10596,10486.87,2023-22-06
10663.28,10553.46,2023-21-06
10627.67,10519.69,2023-20-06
10640.22,10532.1,2023-19-06
10630.51,10522.49,2023-16-06
10694.78,10587.6,2023-15-06
10710.59,10602.49,2023-14-06
10717.21,10608.29,2023-13-06
10694.41,10585.73,2023-12-06
10718.89,10609.97,2023-09-06
10721.01,10612.05,2023-08-06
10715.81,10608.43,2023-07-06
10654.73,10547.96,2023-06-06
10789.27,10681.16,2023-05-06
10727.21,10618.21,2023-31-05
10714.8,10607.43,2023-30-05
10773.83,10665.85,2023-29-05
10780.37,10670.81,2023-26-05
10806.18,10696.34,2023-25-05
10802.19,10692.39,2023-24-05
10863.08,10751.86,2023-23-05
10866.28,10757.38,2023-22-05
10915.94,10804.96,2023-19-05
10963.5,10852.01,2023-17-05
10945.63,10835.92,2023-16-05
10997.52,10887.29,2023-15-05
10989.02,10877.25,2023-12-05
10958.91,10848.26,2023-11-05
10997.98,10887.75,2023-10-05
10951.66,10840.27,2023-09-05
11003.04,10891.12,2023-08-05
10921.84,10810.75,2023-05-05
10884.91,10775.81,2023-04-05
10740.3,10631.12,2023-03-05
10860.4,10751.54,2023-02-05
11079.78,10968.72,2023-28-04
11208.34,11094.32,2023-27-04
11124.64,11011.5,2023-26-04
11077.27,10966.23,2023-18-04
11149.27,11037.49,2023-17-04
11176.57,11062.87,2023-14-04
11164.5,11050.93,2023-13-04
11238.97,11126.3,2023-12-04
11338.67,11225.01,2023-11-04
11429.01,11310.98,2023-10-04
11422.23,11307.71,2023-06-04
11300.29,11185.31,2023-05-04
11278.69,11165.63,2023-04-04
11301.07,11186.09,2023-03-04
11428.7,11312.42,2023-31-03
11494.64,11375.95,2023-30-03
11561.91,11445.99,2023-29-03
11644.68,11526.17,2023-28-03
11717.92,11598.66,2023-27-03
11703.91,11584.81,2023-24-03
11780.43,11660.55,2023-21-03
11610.51,11494.12,2023-20-03
11643.44,11525.85,2023-17-03
11451.97,11335.49,2023-16-03
11578.2,11462.14,2023-15-03
11488.49,11373.33,2023-14-03
11407.75,11293.41,2023-13-03
11335.71,11220.46,2023-10-03
11296.56,11183.35,2023-09-03
11376.62,11260.92,2023-08-03
11329.48,11214.28,2023-07-03
11284.13,11169.39,2023-06-03
11224.39,11108.65,2023-03-03
11273.45,11158.81,2023-02-03
11199.33,11085.46,2023-01-03
